"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Superfície (ha)"
2019,1,"Ciutat Vella",1,"el Raval",110
2019,1,"Ciutat Vella",2,"el Barri Gòtic",81.6
2019,1,"Ciutat Vella",3,"la Barceloneta",109.5
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",111
2019,2,"Eixample",5,"el Fort Pienc",92.9
2019,2,"Eixample",6,"la Sagrada Família",104.2
2019,2,"Eixample",7,"la Dreta de l'Eixample",212
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",122.8
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",134.1
2019,2,"Eixample",10,"Sant Antoni",80.4
2019,3,"Sants-Montjuïc",11,"el Poble Sec",458.5
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1403.4
2019,3,"Sants-Montjuïc",13,"la Marina de Port",126.9
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla",29.7
2019,3,"Sants-Montjuïc",15,"Hostafrancs",41
2019,3,"Sants-Montjuïc",16,"la Bordeta",57.2
2019,3,"Sants-Montjuïc",17,"Sants - Badal",41.5
2019,3,"Sants-Montjuïc",18,"Sants",109.5
2019,4,"Les Corts",19,"les Corts",141
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon",191.5
2019,4,"Les Corts",21,"Pedralbes",268.5
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1132.9
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià",304.7
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",78.8
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",223.4
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",166.9
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",84.8
2019,6,"Gràcia",28,"Vallcarca i els Penitents",125.1
2019,6,"Gràcia",29,"el Coll",35.3
2019,6,"Gràcia",30,"la Salut",64.8
2019,6,"Gràcia",31,"la Vila de Gràcia",132.1
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",65.1
2019,7,"Horta-Guinardó",33,"el Baix Guinardó",56.2
2019,7,"Horta-Guinardó",34,"Can Baró",38.4
2019,7,"Horta-Guinardó",35,"el Guinardó",130.9
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues",65.7
2019,7,"Horta-Guinardó",37,"el Carmel",94
2019,7,"Horta-Guinardó",38,"la Teixonera",33.8
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",168.1
2019,7,"Horta-Guinardó",40,"Montbau",205.5
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron",74.5
2019,7,"Horta-Guinardó",42,"la Clota",17.8
2019,7,"Horta-Guinardó",43,"Horta",307
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",56.4
2019,8,"Nou Barris",45,"Porta",83.7
2019,8,"Nou Barris",46,"el Turó de la Peira",35.4
2019,8,"Nou Barris",47,"Can Peguera",11.9
2019,8,"Nou Barris",48,"la Guineueta",61.2
2019,8,"Nou Barris",49,"Canyelles",79
2019,8,"Nou Barris",50,"les Roquetes",64.3
2019,8,"Nou Barris",51,"Verdun",23.7
2019,8,"Nou Barris",52,"la Prosperitat",59.1
2019,8,"Nou Barris",53,"la Trinitat Nova",57.7
2019,8,"Nou Barris",54,"Torre Baró",174.2
2019,8,"Nou Barris",55,"Ciutat Meridiana",37.7
2019,8,"Nou Barris",56,"Vallbona",60.8
2019,9,"Sant Andreu",57,"la Trinitat Vella",80.8
2019,9,"Sant Andreu",58,"Baró de Viver",23
2019,9,"Sant Andreu",59,"el Bon Pastor",186.5
2019,9,"Sant Andreu",60,"Sant Andreu",186.7
2019,9,"Sant Andreu",61,"la Sagrera",98.6
2019,9,"Sant Andreu",62,"el Congrés i els Indians",40.9
2019,9,"Sant Andreu",63,"Navas",42.4
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",74.1
2019,10,"Sant Martí",65,"el Clot",69.7
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",112.2
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",92.5
2019,10,"Sant Martí",68,"el Poblenou",156.7
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",120.3
2019,10,"Sant Martí",70,"el Besòs i el Maresme",118.5
2019,10,"Sant Martí",71,"Provençals del Poblenou",108.6
2019,10,"Sant Martí",72,"Sant Martí de Provençals",73.4
2019,10,"Sant Martí",73,"la Verneda i la Pau",112.7
